id,timestamp,latency_ms
404,1743557519.8825247,1.401
405,1743557519.9876027,2.042
406,1743557520.0917618,1.93
407,1743557520.1953795,1.302
408,1743557520.2996445,1.241
409,1743557520.404242,1.739
410,1743557520.506359,1.244
411,1743557520.6098359,1.051
412,1743557520.7138638,1.116
413,1743557520.8180542,1.15
414,1743557520.9194276,1.381
415,1743557521.0237207,1.64
416,1743557521.1289825,2.244
417,1743557521.2327585,1.91
418,1743557521.3364632,1.211
419,1743557521.440251,1.221
420,1743557521.5438716,2.227
421,1743557521.6513968,1.472
422,1743557521.766883,2.017
423,1743557521.8709457,1.331
424,1743557521.9744298,1.395
425,1743557522.0783057,2.379
426,1743557522.1806777,2.679
427,1743557522.2844157,1.77
428,1743557522.3882253,1.145
429,1743557522.4921577,1.221
430,1743557522.596465,1.422
431,1743557522.6990888,1.265
432,1743557522.8034651,1.587
433,1743557522.907472,1.216
434,1743557523.011238,1.086
435,1743557523.115439,1.264
436,1743557523.2165496,1.085
437,1743557523.3201156,1.046
438,1743557523.424276,1.261
439,1743557523.5287917,1.413
440,1743557523.6325912,1.177
441,1743557523.7367082,1.18
442,1743557523.8407195,1.291
443,1743557523.9418254,1.077
444,1743557524.044701,1.292
445,1743557524.1490314,1.285
446,1743557524.252724,1.125
447,1743557524.3570898,1.328
448,1743557524.4611275,1.517
449,1743557524.5650358,1.266
450,1743557524.666938,1.267
451,1743557524.7713892,1.635
452,1743557524.875666,1.647
453,1743557524.98027,1.521
454,1743557525.0840008,1.13
455,1743557525.1885455,1.328
456,1743557525.2923107,1.129
457,1743557525.3958738,1.548
458,1743557525.5012982,2.25
459,1743557525.6065888,2.724
460,1743557525.7081094,1.818
461,1743557525.8116941,1.497
462,1743557525.9161825,1.479
463,1743557526.0205226,1.184
464,1743557526.1213117,1.227
465,1743557526.2264793,1.888
466,1743557526.330517,1.439
467,1743557526.4359584,2.322
468,1743557526.5394003,1.137
469,1743557526.645698,3.2
470,1743557526.7460234,1.198
471,1743557526.8516717,2.254
472,1743557526.9563665,2.308
473,1743557527.0616431,2.516
474,1743557527.1653743,1.777
475,1743557527.2707906,2.343
476,1743557527.3721235,1.667
477,1743557527.4759803,1.196
478,1743557527.5805454,1.341
479,1743557527.6848009,1.538
480,1743557527.7871478,1.712
481,1743557527.891005,1.952
482,1743557527.9947193,1.692
483,1743557528.0998461,2.285
484,1743557528.2033582,1.342
485,1743557528.3084986,1.998
486,1743557528.4118428,1.29
487,1743557528.5166185,1.683
488,1743557528.6201794,1.356
489,1743557528.7241395,1.33
490,1743557528.825829,1.183
491,1743557528.9302285,1.199
492,1743557529.03307,1.423
493,1743557529.1375484,1.44
494,1743557529.2417288,1.542
495,1743557529.3458633,1.411
496,1743557529.4503274,1.382
497,1743557529.5543334,1.295
498,1743557529.658622,1.118
499,1743557529.7643266,2.707
500,1743557529.8667185,2.447
501,1743557529.9706857,1.56
502,1743557530.0756655,2.12
503,1743557530.1788206,1.242
504,1743557530.2834363,1.894
505,1743557530.3870494,1.045
506,1743557530.492308,2.437
507,1743557530.5964189,1.947
508,1743557530.70088,1.845
509,1743557530.8050022,1.544
510,1743557530.906695,1.191
511,1743557531.008545,1.805
512,1743557531.1125681,1.474
513,1743557531.2169735,1.6
514,1743557531.320825,1.48
515,1743557531.424206,1.87
516,1743557531.5283175,1.592
517,1743557531.6332974,1.93
518,1743557531.7384079,2.385
519,1743557531.8417478,1.362
520,1743557531.9436798,1.582
521,1743557532.0492127,2.496
522,1743557532.151007,1.665
523,1743557532.2556,1.897
524,1743557532.3595123,1.343
525,1743557532.4645472,1.952
526,1743557532.568735,1.38
527,1743557532.6712737,1.756
